job title,category,education requirement,experience years,required skills,salary range,skills_list,combined_text
c developer,Technology,Bachelor's in Computer Science,1,C#|.NET Framework|SQL|Azure|API Development|LINQ,70-130K,"['c#', '.net framework', 'sql', 'azure', 'api development', 'linq']",c developer c net framework sql azure api development linq
scala developer,Technology,Bachelor's in Computer Science,2,Scala|Functional Programming|Apache Spark|SQL|Problem Solving|Big Data,80-140K,"['scala', 'functional programming', 'apache spark', 'sql', 'problem solving', 'big data']",scala developer scala functional programming apache spark sql problem solving big data
perl developer,Technology,Bachelor's in Computer Science,2,Perl|Text Processing|Scripting|Regular Expressions|Problem Solving|System Administration,70-125K,"['perl', 'text processing', 'scripting', 'regular expressions', 'problem solving', 'system administration']",perl developer perl text processing scripting regular expressions problem solving system administration
shell script developer,Technology,Bachelor's in Computer Science,1,Shell Scripting|Linux|Automation|Bash|System Administration|Problem Solving,60-110K,"['shell scripting', 'linux', 'automation', 'bash', 'system administration', 'problem solving']",shell script developer shell scripting linux automation bash system administration problem solving
elixir developer,Technology,Bachelor's in Computer Science,2,Elixir|Phoenix Framework|Functional Programming|Erlang|Distributed Systems|Problem Solving,80-140K,"['elixir', 'phoenix framework', 'functional programming', 'erlang', 'distributed systems', 'problem solving']",elixir developer elixir phoenix framework functional programming erlang distributed systems problem solving
clojure developer,Technology,Bachelor's in Computer Science,2,Clojure|Functional Programming|Java Interop|LispyScript|Problem Solving|Concurrency,80-140K,"['clojure', 'functional programming', 'java interop', 'lispyscript', 'problem solving', 'concurrency']",clojure developer clojure functional programming java interop lispyscript problem solving concurrency
haskell developer,Technology,Bachelor's in Computer Science,2,Haskell|Functional Programming|Type System|Problem Solving|Concurrency|Lambda Calculus,80-140K,"['haskell', 'functional programming', 'type system', 'problem solving', 'concurrency', 'lambda calculus']",haskell developer haskell functional programming type system problem solving concurrency lambda calculus
typescript developer,Technology,Bachelor's in Computer Science,1,TypeScript|JavaScript|Node.js|Type Safety|Object-Oriented Design|Problem Solving,70-130K,"['typescript', 'javascript', 'node.js', 'type safety', 'object-oriented design', 'problem solving']",typescript developer typescript javascript node js type safety object oriented design problem solving
kotlin developer,Technology,Bachelor's in Computer Science,1,Kotlin|Android Development|Java Interop|Coroutines|Problem Solving|Mobile Development,70-130K,"['kotlin', 'android development', 'java interop', 'coroutines', 'problem solving', 'mobile development']",kotlin developer kotlin android development java interop coroutines problem solving mobile development
swift developer,Technology,Bachelor's in Computer Science,1,Swift|iOS Development|Xcode|UI/UX|Problem Solving|Mobile Development,75-135K,"['swift', 'ios development', 'xcode', 'ui', 'ux', 'problem solving', 'mobile development']",swift developer swift ios development xcode ui ux problem solving mobile development
r programmer,Data & Analytics,Bachelor's in Statistics|Bachelor's in Mathematics,1,R|Statistical Analysis|Data Visualization|tidyverse|ggplot2|Problem Solving,65-120K,"['r', 'statistical analysis', 'data visualization', 'tidyverse', 'ggplot2', 'problem solving']",r programmer r statistical analysis data visualization tidyverse ggplot2 problem solving
matlab developer,Technology,Bachelor's in Engineering|Bachelor's in Physics,1,MATLAB|Numerical Analysis|Signal Processing|Simulink|Problem Solving|Mathematics,70-130K,"['matlab', 'numerical analysis', 'signal processing', 'simulink', 'problem solving', 'mathematics']",matlab developer matlab numerical analysis signal processing simulink problem solving mathematics
jupyter developer,Data & Analytics,Bachelor's in Computer Science|Data Science Certificate,1,Jupyter Notebooks|Python|Data Analysis|Visualization|Documentation|Collaboration,65-120K,"['jupyter notebooks', 'python', 'data analysis', 'visualization', 'documentation', 'collaboration']",jupyter developer jupyter notebooks python data analysis visualization documentation collaboration
oracle dba,Technology,Bachelor's in IT|Oracle Certification,3,Oracle Database|SQL|Database Administration|Performance Tuning|Backup Recovery|Security,80-145K,"['oracle database', 'sql', 'database administration', 'performance tuning', 'backup recovery', 'security']",oracle dba oracle database sql database administration performance tuning backup recovery security
mongodb developer,Technology,Bachelor's in Computer Science,2,MongoDB|NoSQL|JSON|JavaScript|Aggregation|Indexing,75-135K,"['mongodb', 'nosql', 'json', 'javascript', 'aggregation', 'indexing']",mongodb developer mongodb nosql json javascript aggregation indexing
cassandra developer,Technology,Bachelor's in Computer Science,2,Cassandra|NoSQL|Distributed Systems|CQL|Scalability|Performance,80-145K,"['cassandra', 'nosql', 'distributed systems', 'cql', 'scalability', 'performance']",cassandra developer cassandra nosql distributed systems cql scalability performance
redis developer,Technology,Bachelor's in Computer Science,2,Redis|Caching|Data Structures|Pub/Sub|Performance Optimization|Scalability,80-140K,"['redis', 'caching', 'data structures', 'pub', 'sub', 'performance optimization', 'scalability']",redis developer redis caching data structures pub sub performance optimization scalability
elasticsearch developer,Technology,Bachelor's in Computer Science,2,Elasticsearch|Search Technology|Analytics|Query DSL|Kibana|Performance,80-140K,"['elasticsearch', 'search technology', 'analytics', 'query dsl', 'kibana', 'performance']",elasticsearch developer elasticsearch search technology analytics query dsl kibana performance
kafka developer,Technology,Bachelor's in Computer Science,2,Apache Kafka|Streaming|Event Processing|Distributed Systems|Scalability|Problem Solving,85-150K,"['apache kafka', 'streaming', 'event processing', 'distributed systems', 'scalability', 'problem solving']",kafka developer apache kafka streaming event processing distributed systems scalability problem solving
spark developer,Data & Analytics,Bachelor's in Computer Science,2,Apache Spark|Big Data|Python|Scala|Distributed Computing|SQL,85-150K,"['apache spark', 'big data', 'python', 'scala', 'distributed computing', 'sql']",spark developer apache spark big data python scala distributed computing sql
hadoop developer,Data & Analytics,Bachelor's in Computer Science,2,Hadoop|HDFS|MapReduce|Big Data|Java|Distributed Computing,85-150K,"['hadoop', 'hdfs', 'mapreduce', 'big data', 'java', 'distributed computing']",hadoop developer hadoop hdfs mapreduce big data java distributed computing
data warehouse architect,Data & Analytics,Master's in IT|Data Warehouse Certification,5,Data Warehouse Design|ETL|SQL|Dimensional Modeling|Performance Tuning|Strategic Planning,110-180K,"['data warehouse design', 'etl', 'sql', 'dimensional modeling', 'performance tuning', 'strategic planning']",data warehouse architect data warehouse design etl sql dimensional modeling performance tuning strategic planning
etl developer,Data & Analytics,Bachelor's in IT,2,ETL Tools|SQL|Data Integration|Data Quality|Problem Solving|Performance,70-130K,"['etl tools', 'sql', 'data integration', 'data quality', 'problem solving', 'performance']",etl developer etl tools sql data integration data quality problem solving performance
talend developer,Data & Analytics,Bachelor's in IT,2,Talend|ETL|Data Integration|Java|SQL|Data Quality,75-135K,"['talend', 'etl', 'data integration', 'java', 'sql', 'data quality']",talend developer talend etl data integration java sql data quality
informatica developer,Data & Analytics,Bachelor's in IT,2,Informatica|ETL|Data Integration|SQL|Data Quality|Performance Tuning,75-135K,"['informatica', 'etl', 'data integration', 'sql', 'data quality', 'performance tuning']",informatica developer informatica etl data integration sql data quality performance tuning
sas programmer,Data & Analytics,Bachelor's in Statistics|SAS Certification,1,SAS|Statistical Analysis|Data Management|Visualization|SQL|Problem Solving,70-130K,"['sas', 'statistical analysis', 'data management', 'visualization', 'sql', 'problem solving']",sas programmer sas statistical analysis data management visualization sql problem solving
power bi developer,Data & Analytics,Bachelor's in IT,1,Power BI|Data Visualization|DAX|SQL|Excel|Dashboard Development,65-125K,"['power bi', 'data visualization', 'dax', 'sql', 'excel', 'dashboard development']",power bi developer power bi data visualization dax sql excel dashboard development
looker developer,Data & Analytics,Bachelor's in IT,2,Looker|Data Visualization|LookML|SQL|Analytics|Dashboard Development,75-135K,"['looker', 'data visualization', 'lookml', 'sql', 'analytics', 'dashboard development']",looker developer looker data visualization lookml sql analytics dashboard development
qlik developer,Data & Analytics,Bachelor's in IT,2,Qlik Sense|Qlik View|Data Visualization|SQL|Analytics|Dashboard Development,75-135K,"['qlik sense', 'qlik view', 'data visualization', 'sql', 'analytics', 'dashboard development']",qlik developer qlik sense qlik view data visualization sql analytics dashboard development
tableau specialist,Data & Analytics,Bachelor's in IT|Tableau Certification,1,Tableau|Data Visualization|SQL|Analytics|Dashboard Design|Communication,65-120K,"['tableau', 'data visualization', 'sql', 'analytics', 'dashboard design', 'communication']",tableau specialist tableau data visualization sql analytics dashboard design communication
salesforce developer,Technology,Bachelor's in Computer Science|Salesforce Certification,2,Salesforce|Apex|VisualForce|Lightning|CRM|Problem Solving,80-150K,"['salesforce', 'apex', 'visualforce', 'lightning', 'crm', 'problem solving']",salesforce developer salesforce apex visualforce lightning crm problem solving
salesforce administrator,Technology,Bachelor's in IT|Salesforce Admin Certification,1,Salesforce|Administration|Configuration|User Management|Data Management|Support,60-110K,"['salesforce', 'administration', 'configuration', 'user management', 'data management', 'support']",salesforce administrator salesforce administration configuration user management data management support
sap developer,Technology,Bachelor's in IT|SAP Certification,2,SAP|ABAP|Enterprise Systems|SQL|Problem Solving|Configuration,85-150K,"['sap', 'abap', 'enterprise systems', 'sql', 'problem solving', 'configuration']",sap developer sap abap enterprise systems sql problem solving configuration
oracle applications developer,Technology,Bachelor's in IT|Oracle Certification,2,Oracle Apps|PL/SQL|ERP Systems|SQL|Problem Solving|Configuration,80-145K,"['oracle apps', 'pl', 'sql', 'erp systems', 'sql', 'problem solving', 'configuration']",oracle applications developer oracle apps pl sql erp systems sql problem solving configuration
shopify developer,Technology,Bachelor's in Computer Science,1,Shopify|Liquid|JavaScript|API Integration|E-commerce|Problem Solving,70-130K,"['shopify', 'liquid', 'javascript', 'api integration', 'e-commerce', 'problem solving']",shopify developer shopify liquid javascript api integration e commerce problem solving
wordpress developer,Technology,High School|WordPress Certification,1,WordPress|PHP|JavaScript|CSS|Plugin Development|Theme Development,55-110K,"['wordpress', 'php', 'javascript', 'css', 'plugin development', 'theme development']",wordpress developer wordpress php javascript css plugin development theme development
drupal developer,Technology,Bachelor's in Computer Science,2,Drupal|PHP|JavaScript|MySQL|Theme Development|Module Development,70-130K,"['drupal', 'php', 'javascript', 'mysql', 'theme development', 'module development']",drupal developer drupal php javascript mysql theme development module development
magento developer,Technology,Bachelor's in Computer Science,2,Magento|PHP|JavaScript|E-commerce|MySQL|Problem Solving,75-135K,"['magento', 'php', 'javascript', 'e-commerce', 'mysql', 'problem solving']",magento developer magento php javascript e commerce mysql problem solving
joomla developer,Technology,Bachelor's in Computer Science,1,Joomla|PHP|JavaScript|CMS|MySQL|Theme Development,60-115K,"['joomla', 'php', 'javascript', 'cms', 'mysql', 'theme development']",joomla developer joomla php javascript cms mysql theme development
cybersecurity analyst,Technology,Bachelor's in Cybersecurity|Security+ Certification,1,Threat Analysis|Vulnerability Assessment|Security Systems|Log Analysis|Incident Response|Risk Assessment,70-130K,"['threat analysis', 'vulnerability assessment', 'security systems', 'log analysis', 'incident response', 'risk assessment']",cybersecurity analyst threat analysis vulnerability assessment security systems log analysis incident response risk assessment
ethical hacker,Technology,Bachelor's in Cybersecurity|CEH Certification,3,Penetration Testing|Hacking Tools|Networking|Security|Problem Solving|Vulnerability Research,90-160K,"['penetration testing', 'hacking tools', 'networking', 'security', 'problem solving', 'vulnerability research']",ethical hacker penetration testing hacking tools networking security problem solving vulnerability research
soc analyst,Technology,Bachelor's in Cybersecurity|Security Certification,1,SIEM|Threat Detection|Incident Response|Log Analysis|Security Protocols|Communication,65-120K,"['siem', 'threat detection', 'incident response', 'log analysis', 'security protocols', 'communication']",soc analyst siem threat detection incident response log analysis security protocols communication
privacy officer,Technology,Master's in Law|Privacy Certification,3,Privacy Law|GDPR|Compliance|Risk Management|Communication|Strategic Planning,85-150K,"['privacy law', 'gdpr', 'compliance', 'risk management', 'communication', 'strategic planning']",privacy officer privacy law gdpr compliance risk management communication strategic planning
compliance officer,Technology,Bachelor's in Business|Compliance Certification,3,Compliance|Regulations|Auditing|Risk Management|Documentation|Communication,80-145K,"['compliance', 'regulations', 'auditing', 'risk management', 'documentation', 'communication']",compliance officer compliance regulations auditing risk management documentation communication
it help desk technician,Technology,High School|CompTIA A+ Certification,0,Technical Support|Troubleshooting|Hardware|Software|Customer Service|Communication,35-65K,"['technical support', 'troubleshooting', 'hardware', 'software', 'customer service', 'communication']",it help desk technician technical support troubleshooting hardware software customer service communication
it field technician,Technology,High School|IT Certification,1,Hardware Installation|Troubleshooting|Networking|Customer Service|Problem Solving|Documentation,45-80K,"['hardware installation', 'troubleshooting', 'networking', 'customer service', 'problem solving', 'documentation']",it field technician hardware installation troubleshooting networking customer service problem solving documentation
website administrator,Technology,Bachelor's in IT,1,Website Management|CMS|Server Administration|HTML/CSS|Database Management|Troubleshooting,50-90K,"['website management', 'cms', 'server administration', 'html', 'css', 'database management', 'troubleshooting']",website administrator website management cms server administration html css database management troubleshooting
technical writer,Technology,Bachelor's in English|Technical Writing Certification,1,Technical Writing|Documentation|API Documentation|Communication|Organization|Problem Solving,50-100K,"['technical writing', 'documentation', 'api documentation', 'communication', 'organization', 'problem solving']",technical writer technical writing documentation api documentation communication organization problem solving
solutions engineer,Technology,Bachelor's in Computer Science|Bachelor's in Engineering,3,Technical Problem Solving|Solution Design|Communication|Customer Relations|Product Knowledge|Presentation,85-155K,"['technical problem solving', 'solution design', 'communication', 'customer relations', 'product knowledge', 'presentation']",solutions engineer technical problem solving solution design communication customer relations product knowledge presentation
pre sales engineer,Technology,Bachelor's in Computer Science,2,Sales Engineering|Technical Knowledge|Communication|Product Demonstration|Problem Solving|Client Relations,75-140K,"['sales engineering', 'technical knowledge', 'communication', 'product demonstration', 'problem solving', 'client relations']",pre sales engineer sales engineering technical knowledge communication product demonstration problem solving client relations
technical account manager,Technology,Bachelor's in Computer Science,2,Account Management|Technical Knowledge|Communication|Problem Solving|Client Relations|Product Knowledge,75-135K,"['account management', 'technical knowledge', 'communication', 'problem solving', 'client relations', 'product knowledge']",technical account manager account management technical knowledge communication problem solving client relations product knowledge
release manager,Technology,Bachelor's in IT,3,Release Management|Project Management|Change Control|Documentation|Communication|Problem Solving,80-145K,"['release management', 'project management', 'change control', 'documentation', 'communication', 'problem solving']",release manager release management project management change control documentation communication problem solving
it project manager,Technology,Bachelor's in IT|Project Management Certification,3,Project Management|IT Knowledge|Leadership|Budget Control|Communication|Problem Solving,80-145K,"['project management', 'it knowledge', 'leadership', 'budget control', 'communication', 'problem solving']",it project manager project management it knowledge leadership budget control communication problem solving
scrum master,Technology,Bachelor's in IT|Scrum Master Certification,2,Scrum|Agile|Coaching|Team Leadership|Problem Solving|Communication,75-140K,"['scrum', 'agile', 'coaching', 'team leadership', 'problem solving', 'communication']",scrum master scrum agile coaching team leadership problem solving communication
product owner,Technology,Bachelor's in Business|Scrum Product Owner Certification,2,Product Strategy|Agile|Backlog Management|Communication|Leadership|Business Acumen,80-150K,"['product strategy', 'agile', 'backlog management', 'communication', 'leadership', 'business acumen']",product owner product strategy agile backlog management communication leadership business acumen
academic data analyst,Data & Analytics,Master's in Data Science|PhD,2,Statistical Analysis|Research|Python|R|Academic Writing|Problem Solving,70-130K,"['statistical analysis', 'research', 'python', 'r', 'academic writing', 'problem solving']",academic data analyst statistical analysis research python r academic writing problem solving
clinical data manager,Healthcare,Master's in Data Management|Bachelor's in Life Sciences,2,Clinical Data|Regulatory Compliance|Database Management|Statistical Analysis|Problem Solving|Attention to Detail,70-130K,"['clinical data', 'regulatory compliance', 'database management', 'statistical analysis', 'problem solving', 'attention to detail']",clinical data manager clinical data regulatory compliance database management statistical analysis problem solving attention to detail
biomedical engineer,Engineering & Manufacturing,Bachelor's in Biomedical Engineering,2,Biomedical Systems|Medical Devices|CAD|Problem Solving|Regulatory Knowledge|Technical Design,75-140K,"['biomedical systems', 'medical devices', 'cad', 'problem solving', 'regulatory knowledge', 'technical design']",biomedical engineer biomedical systems medical devices cad problem solving regulatory knowledge technical design
software test engineer,Technology,Bachelor's in Computer Science,1,Test Automation|Manual Testing|Problem Solving|Selenium|API Testing|Documentation,55-105K,"['test automation', 'manual testing', 'problem solving', 'selenium', 'api testing', 'documentation']",software test engineer test automation manual testing problem solving selenium api testing documentation
performance tester,Technology,Bachelor's in IT,2,Performance Testing|Load Testing|JMeter|Analysis|Problem Solving|Reporting,70-130K,"['performance testing', 'load testing', 'jmeter', 'analysis', 'problem solving', 'reporting']",performance tester performance testing load testing jmeter analysis problem solving reporting
security tester,Technology,Bachelor's in Cybersecurity,2,Security Testing|Vulnerability Testing|Problem Solving|Security Tools|Risk Assessment|Reporting,75-135K,"['security testing', 'vulnerability testing', 'problem solving', 'security tools', 'risk assessment', 'reporting']",security tester security testing vulnerability testing problem solving security tools risk assessment reporting
retail manager,Retail & Hospitality,High School|Associate in Business,3,Sales Management|Customer Service|Inventory Control|Staff Leadership|Cash Handling|Problem Solving,50-85K,"['sales management', 'customer service', 'inventory control', 'staff leadership', 'cash handling', 'problem solving']",retail manager sales management customer service inventory control staff leadership cash handling problem solving
store manager,Retail & Hospitality,High School|Leadership,2,Store Management|Sales|Staff Management|Inventory|Customer Relations|Problem Solving,55-90K,"['store management', 'sales', 'staff management', 'inventory', 'customer relations', 'problem solving']",store manager store management sales staff management inventory customer relations problem solving
visual merchandiser,Retail & Hospitality,High School|Design Knowledge,1,Visual Design|Creativity|Lighting|Arrangement|Sales|Customer Service,40-70K,"['visual design', 'creativity', 'lighting', 'arrangement', 'sales', 'customer service']",visual merchandiser visual design creativity lighting arrangement sales customer service
loss prevention manager,Retail & Hospitality,High School|Security Training,2,Security|Surveillance|Investigation|Problem Solving|Leadership|Communication,50-85K,"['security', 'surveillance', 'investigation', 'problem solving', 'leadership', 'communication']",loss prevention manager security surveillance investigation problem solving leadership communication
cashier,Retail & Hospitality,High School,0,Cash Handling|Customer Service|Point of Sale|Accuracy|Communication|Friendliness,28-40K,"['cash handling', 'customer service', 'point of sale', 'accuracy', 'communication', 'friendliness']",cashier cash handling customer service point of sale accuracy communication friendliness
sales associate,Retail & Hospitality,High School,0,Sales|Customer Service|Product Knowledge|Communication|Problem Solving|Teamwork,30-50K,"['sales', 'customer service', 'product knowledge', 'communication', 'problem solving', 'teamwork']",sales associate sales customer service product knowledge communication problem solving teamwork
retail supervisor,Retail & Hospitality,High School|Leadership,2,Supervision|Sales|Customer Service|Inventory|Staff Training|Problem Solving,45-75K,"['supervision', 'sales', 'customer service', 'inventory', 'staff training', 'problem solving']",retail supervisor supervision sales customer service inventory staff training problem solving
electrician,Skilled Trades,Trade School|Apprenticeship,3,Electrical Work|Safety|Problem Solving|Technical Knowledge|Code Knowledge|Troubleshooting,60-100K,"['electrical work', 'safety', 'problem solving', 'technical knowledge', 'code knowledge', 'troubleshooting']",electrician electrical work safety problem solving technical knowledge code knowledge troubleshooting
plumber,Skilled Trades,Trade School|Apprenticeship,3,Plumbing Systems|Safety|Problem Solving|Technical Knowledge|Code Knowledge|Customer Service,55-95K,"['plumbing systems', 'safety', 'problem solving', 'technical knowledge', 'code knowledge', 'customer service']",plumber plumbing systems safety problem solving technical knowledge code knowledge customer service
carpenter,Skilled Trades,Trade School|Apprenticeship,2,Carpentry|Safety|Technical Skills|Problem Solving|Hand Tools|Precision,50-90K,"['carpentry', 'safety', 'technical skills', 'problem solving', 'hand tools', 'precision']",carpenter carpentry safety technical skills problem solving hand tools precision
hvac technician,Skilled Trades,Trade School|HVAC Certification,2,HVAC Systems|Troubleshooting|Safety|Technical Knowledge|Equipment|Problem Solving,50-90K,"['hvac systems', 'troubleshooting', 'safety', 'technical knowledge', 'equipment', 'problem solving']",hvac technician hvac systems troubleshooting safety technical knowledge equipment problem solving
welder,Skilled Trades,Trade School|Welding Certification,1,Welding|Safety|Precision|Technical Knowledge|Problem Solving|Physical Stamina,45-80K,"['welding', 'safety', 'precision', 'technical knowledge', 'problem solving', 'physical stamina']",welder welding safety precision technical knowledge problem solving physical stamina
heavy equipment operator,Skilled Trades,High School|Equipment License,1,Equipment Operation|Safety|Problem Solving|Precision|Attention to Detail|Communication,50-85K,"['equipment operation', 'safety', 'problem solving', 'precision', 'attention to detail', 'communication']",heavy equipment operator equipment operation safety problem solving precision attention to detail communication
cnc machinist,Skilled Trades,Machinist Program|Trade School,2,CNC Machines|Precision|Technical Knowledge|Problem Solving|Safety|Attention to Detail,55-90K,"['cnc machines', 'precision', 'technical knowledge', 'problem solving', 'safety', 'attention to detail']",cnc machinist cnc machines precision technical knowledge problem solving safety attention to detail
mechanic,Skilled Trades,Trade School|Certification,2,Vehicle Mechanics|Troubleshooting|Problem Solving|Equipment Knowledge|Safety|Attention to Detail,50-85K,"['vehicle mechanics', 'troubleshooting', 'problem solving', 'equipment knowledge', 'safety', 'attention to detail']",mechanic vehicle mechanics troubleshooting problem solving equipment knowledge safety attention to detail
diesel mechanic,Skilled Trades,Trade School|Diesel Certification,2,Diesel Engines|Troubleshooting|Technical Skills|Safety|Problem Solving|Equipment Knowledge,55-95K,"['diesel engines', 'troubleshooting', 'technical skills', 'safety', 'problem solving', 'equipment knowledge']",diesel mechanic diesel engines troubleshooting technical skills safety problem solving equipment knowledge
head chef,Hospitality & Food Service,Culinary School,5,Culinary Skills|Kitchen Management|Leadership|Recipe Development|Food Safety|Creativity,70-130K,"['culinary skills', 'kitchen management', 'leadership', 'recipe development', 'food safety', 'creativity']",head chef culinary skills kitchen management leadership recipe development food safety creativity
sous chef,Hospitality & Food Service,Culinary School,3,Culinary Skills|Kitchen Management|Leadership|Training|Food Safety|Creativity,55-90K,"['culinary skills', 'kitchen management', 'leadership', 'training', 'food safety', 'creativity']",sous chef culinary skills kitchen management leadership training food safety creativity
line cook,Hospitality & Food Service,Culinary School|High School,1,Cooking|Food Safety|Kitchen Skills|Speed|Accuracy|Teamwork,35-55K,"['cooking', 'food safety', 'kitchen skills', 'speed', 'accuracy', 'teamwork']",line cook cooking food safety kitchen skills speed accuracy teamwork
pastry chef,Hospitality & Food Service,Culinary School|Pastry Specialization,2,Baking|Decoration|Creativity|Precision|Food Safety|Time Management,50-85K,"['baking', 'decoration', 'creativity', 'precision', 'food safety', 'time management']",pastry chef baking decoration creativity precision food safety time management
bartender,Hospitality & Food Service,High School|Bartending Certification,1,Bartending|Customer Service|Communication|Memory|Team Work|Problem Solving,35-65K,"['bartending', 'customer service', 'communication', 'memory', 'team work', 'problem solving']",bartender bartending customer service communication memory team work problem solving
server,Hospitality & Food Service,High School,0,Customer Service|Communication|Memory|Organization|Problem Solving|Teamwork,30-50K,"['customer service', 'communication', 'memory', 'organization', 'problem solving', 'teamwork']",server customer service communication memory organization problem solving teamwork
hairstylist,Beauty & Wellness,Beauty School|License,1,Hair Styling|Customer Service|Creativity|Technical Skills|Communication|Precision,35-70K,"['hair styling', 'customer service', 'creativity', 'technical skills', 'communication', 'precision']",hairstylist hair styling customer service creativity technical skills communication precision
makeup artist,Beauty & Wellness,Beauty School|Makeup Certification,1,Makeup Application|Creativity|Color Theory|Communication|Technical Skills|Customer Service,40-75K,"['makeup application', 'creativity', 'color theory', 'communication', 'technical skills', 'customer service']",makeup artist makeup application creativity color theory communication technical skills customer service
nail technician,Beauty & Wellness,Beauty School|License,1,Nail Care|Artistry|Customer Service|Precision|Sanitation|Communication,35-60K,"['nail care', 'artistry', 'customer service', 'precision', 'sanitation', 'communication']",nail technician nail care artistry customer service precision sanitation communication
esthetician,Beauty & Wellness,Esthetics School|License,1,Skincare|Facial Treatment|Customer Service|Product Knowledge|Communication|Technical Skills,40-70K,"['skincare', 'facial treatment', 'customer service', 'product knowledge', 'communication', 'technical skills']",esthetician skincare facial treatment customer service product knowledge communication technical skills
massage therapist,Beauty & Wellness,Massage Therapy School|License,1,Massage Therapy|Anatomy|Customer Service|Communication|Problem Solving|Empathy,45-75K,"['massage therapy', 'anatomy', 'customer service', 'communication', 'problem solving', 'empathy']",massage therapist massage therapy anatomy customer service communication problem solving empathy
farmer,Agriculture,High School|Agriculture Experience,2,Farming|Equipment Operation|Problem Solving|Sustainability|Business Management|Safety,40-80K,"['farming', 'equipment operation', 'problem solving', 'sustainability', 'business management', 'safety']",farmer farming equipment operation problem solving sustainability business management safety
farm manager,Agriculture,Bachelor's in Agriculture|Leadership,3,Farm Management|Crop Knowledge|Equipment|Leadership|Business Acumen|Sustainability,55-100K,"['farm management', 'crop knowledge', 'equipment', 'leadership', 'business acumen', 'sustainability']",farm manager farm management crop knowledge equipment leadership business acumen sustainability
livestock manager,Agriculture,Agriculture Program|Experience,2,Livestock Care|Health Knowledge|Equipment|Problem Solving|Leadership|Business Skills,50-90K,"['livestock care', 'health knowledge', 'equipment', 'problem solving', 'leadership', 'business skills']",livestock manager livestock care health knowledge equipment problem solving leadership business skills
dairy manager,Agriculture,Agriculture Program,3,Dairy Operations|Animal Health|Equipment|Quality Control|Leadership|Problem Solving,55-95K,"['dairy operations', 'animal health', 'equipment', 'quality control', 'leadership', 'problem solving']",dairy manager dairy operations animal health equipment quality control leadership problem solving
park ranger,Conservation,Bachelor's in Environmental Science,1,Conservation|Public Safety|Environmental Knowledge|Communication|Outdoor Skills|Problem Solving,40-75K,"['conservation', 'public safety', 'environmental knowledge', 'communication', 'outdoor skills', 'problem solving']",park ranger conservation public safety environmental knowledge communication outdoor skills problem solving
wildlife biologist,Conservation,Bachelor's in Biology|Master's in Wildlife,2,Wildlife Biology|Research|Data Analysis|Field Work|Problem Solving|Communication,50-90K,"['wildlife biology', 'research', 'data analysis', 'field work', 'problem solving', 'communication']",wildlife biologist wildlife biology research data analysis field work problem solving communication
conservation officer,Conservation,Bachelor's in Environmental Science,1,Conservation|Law Enforcement|Environmental Knowledge|Problem Solving|Communication|Safety,45-80K,"['conservation', 'law enforcement', 'environmental knowledge', 'problem solving', 'communication', 'safety']",conservation officer conservation law enforcement environmental knowledge problem solving communication safety
bus driver,Transportation,High School|Commercial Driver's License,0,Driving|Safety|Customer Service|Route Knowledge|Problem Solving|Responsibility,40-70K,"['driving', 'safety', 'customer service', 'route knowledge', 'problem solving', 'responsibility']",bus driver driving safety customer service route knowledge problem solving responsibility
taxi driver,Transportation,High School|Taxi License,0,Driving|Navigation|Customer Service|Problem Solving|Safety|Communication,35-65K,"['driving', 'navigation', 'customer service', 'problem solving', 'safety', 'communication']",taxi driver driving navigation customer service problem solving safety communication
ship captain,Transportation,Maritime Academy|Captain License,5,Navigation|Leadership|Maritime Law|Safety|Problem Solving|Technical Knowledge,80-150K,"['navigation', 'leadership', 'maritime law', 'safety', 'problem solving', 'technical knowledge']",ship captain navigation leadership maritime law safety problem solving technical knowledge
deck officer,Transportation,Maritime Training,2,Navigation|Maritime Knowledge|Safety|Technical Skills|Leadership|Problem Solving,60-100K,"['navigation', 'maritime knowledge', 'safety', 'technical skills', 'leadership', 'problem solving']",deck officer navigation maritime knowledge safety technical skills leadership problem solving
crane operator,Transportation,High School|Crane Certification,1,Crane Operation|Safety|Precision|Problem Solving|Communication|Attention to Detail,55-90K,"['crane operation', 'safety', 'precision', 'problem solving', 'communication', 'attention to detail']",crane operator crane operation safety precision problem solving communication attention to detail
police officer,Law Enforcement,High School|Police Academy,1,Law Enforcement|Safety|Problem Solving|Communication|Physical Fitness|Judgment,50-85K,"['law enforcement', 'safety', 'problem solving', 'communication', 'physical fitness', 'judgment']",police officer law enforcement safety problem solving communication physical fitness judgment
security guard,Law Enforcement,High School|Security Training,0,Security|Awareness|Communication|Problem Solving|Safety|Responsibility,30-55K,"['security', 'awareness', 'communication', 'problem solving', 'safety', 'responsibility']",security guard security awareness communication problem solving safety responsibility
firefighter,Law Enforcement,High School|Fire Academy,1,Fire Fighting|Safety|Physical Fitness|Problem Solving|Teamwork|Quick Thinking,50-90K,"['fire fighting', 'safety', 'physical fitness', 'problem solving', 'teamwork', 'quick thinking']",firefighter fire fighting safety physical fitness problem solving teamwork quick thinking
military officer,Law Enforcement,Military Academy|Bachelor's Degree,3,Leadership|Strategic Planning|Safety|Communication|Problem Solving|Discipline,60-120K,"['leadership', 'strategic planning', 'safety', 'communication', 'problem solving', 'discipline']",military officer leadership strategic planning safety communication problem solving discipline
